System	Alpha1	Alpha2	delE1	delE2
BiSF-T-biaxial_0,90	0	0	0	0
BiSF-T-biaxial_0,91	0	0	0	0
BiSF-T-biaxial_0,92	0	0	0	0
BiSF-T-biaxial_0,93	0	0	0	0
BiSF-T-biaxial_0,94	0	0	0	0
BiSF-T-biaxial_0,95	0	0	0	0
BiSF-T-biaxial_0,96	0	0	0	0
BiSF-T-biaxial_0,97	0.04972875226036293	-0.09164926931107967	0.0002749999999998032	-0.0004390000000000782
BiSF-T-biaxial_0,98	0.22611872146124068	-0.26385669125395805	0.0012380000000002944	-0.0012520000000000309
BiSF-T-biaxial_0,99	0.3959447004608357	-0.42153518123660666	0.0021480000000000388	-0.0019769999999996735
BiSF-T-biaxial_1,00	0.5664492078284843	-0.3091984938138574	0.003038999999999792	-0.002873999999999821
BiSF-T-biaxial_1,01	0.4358588235293959	-0.48195652173911235	0.00463099999999983	-0.004433999999999827
BiSF-T-biaxial_1,02	0.6254631828978624	-0.69506037321625	0.0065830000000000055	-0.006332000000000004
BiSF-T-biaxial_1,03	0.8017274472168593	-0.6359940872136172	0.00835399999999975	-0.008605000000000196
BiSF-T-biaxial_1,04	0.7001291989664429	-0.806119402985075	0.01083800000000057	-0.010801999999999978
BiSF-T-biaxial_1,05	0.8837300293446232	-0.7729378531073455	0.013551999999999786	-0.013681000000000054
BiSF-T-biaxial_1,06	0.871999999999998	-0.7511749942961324	0.01765799999999995	-0.016461999999999755
BiSF-T-biaxial_1,07	0.8326953748006609	-0.9268539843390434	0.02088400000000057	-0.02012200000000064
BiSF-T-biaxial_1,08	0.8793091884641359	-0.9562875411742077	0.026221000000000494	-0.024677000000000504
BiSF-T-biaxial_1,09	0.9445894981143065	-0.8943246810382682	0.032560000000000144	-0.03049199999999974
BiSF-T-biaxial_1,10	0.9963873943120719	-0.9569586950802516	0.03888900000000017	-0.03637400000000035
